time,lat,lon,temperature
2020-08-01,30.275,19.975,
2020-08-01,30.275,20.025,
2020-08-01,30.275,20.075,
2020-08-01,30.275,20.125,
2020-08-01,30.275,20.175,
2020-08-01,30.275,20.225,
2020-08-01,30.275,20.275,
2020-08-01,30.275,20.325,
2020-08-01,30.275,20.375,
2020-08-01,30.275,20.425,
2020-08-01,30.275,20.475,
2020-08-01,30.275,20.525,
2020-08-01,30.275,20.575,
2020-08-01,30.275,20.625,
2020-08-01,30.275,20.675,
2020-08-01,30.275,20.725,
2020-08-01,30.275,20.775,
2020-08-01,30.275,20.825,
2020-08-01,30.275,20.875,
2020-08-01,30.275,20.925,
2020-08-01,30.275,20.975,
2020-08-01,30.275,21.025,
2020-08-01,30.275,21.075,
2020-08-01,30.275,21.125,
2020-08-01,30.275,21.175,
2020-08-01,30.275,21.225,
2020-08-01,30.275,21.275,
2020-08-01,30.275,21.325,
2020-08-01,30.275,21.375,
2020-08-01,30.275,21.425,
2020-08-01,30.275,21.475,
2020-08-01,30.275,21.525,
2020-08-01,30.275,21.575,
2020-08-01,30.275,21.625,
2020-08-01,30.275,21.675,
2020-08-01,30.275,21.725,
2020-08-01,30.275,21.775,
2020-08-01,30.275,21.825,
2020-08-01,30.275,21.875,
2020-08-01,30.275,21.925,
2020-08-01,30.275,21.975,
2020-08-01,30.275,22.025,
2020-08-01,30.275,22.075,
2020-08-01,30.275,22.125,
2020-08-01,30.275,22.175,
2020-08-01,30.275,22.225,
2020-08-01,30.275,22.275,
2020-08-01,30.275,22.325,
2020-08-01,30.275,22.375,
2020-08-01,30.275,22.425,
2020-08-01,30.275,22.475,
2020-08-01,30.275,22.525,
2020-08-01,30.275,22.575,
2020-08-01,30.275,22.625,
2020-08-01,30.275,22.675,
2020-08-01,30.275,22.725,
2020-08-01,30.275,22.775,
2020-08-01,30.275,22.825,
2020-08-01,30.275,22.875,
2020-08-01,30.275,22.925,
2020-08-01,30.275,22.975,
2020-08-01,30.275,23.025,
2020-08-01,30.275,23.075,
2020-08-01,30.275,23.125,
2020-08-01,30.275,23.175,
2020-08-01,30.275,23.225,
2020-08-01,30.275,23.275,
2020-08-01,30.275,23.325,
2020-08-01,30.275,23.375,
2020-08-01,30.275,23.425,
2020-08-01,30.275,23.475,
2020-08-01,30.275,23.525,
2020-08-01,30.275,23.575,
2020-08-01,30.275,23.625,
2020-08-01,30.275,23.675,
2020-08-01,30.275,23.725,
2020-08-01,30.275,23.775,
2020-08-01,30.275,23.825,
2020-08-01,30.275,23.875,
2020-08-01,30.275,23.925,
2020-08-01,30.275,23.975,
2020-08-01,30.275,24.025,
2020-08-01,30.275,24.075,
2020-08-01,30.275,24.125,
2020-08-01,30.275,24.175,
2020-08-01,30.275,24.225,
2020-08-01,30.275,24.275,
2020-08-01,30.275,24.325,
2020-08-01,30.275,24.375,
2020-08-01,30.275,24.425,
2020-08-01,30.275,24.475,
2020-08-01,30.275,24.525,
2020-08-01,30.275,24.575,
2020-08-01,30.275,24.625,
2020-08-01,30.275,24.675,
2020-08-01,30.275,24.725,
2020-08-01,30.275,24.775,
2020-08-01,30.275,24.825,
2020-08-01,30.275,24.875,
2020-08-01,30.275,24.925,
2020-08-01,30.275,24.975,
2020-08-01,30.275,25.025,
2020-08-01,30.275,25.075,
2020-08-01,30.275,25.125,
2020-08-01,30.275,25.175,
2020-08-01,30.275,25.225,
2020-08-01,30.275,25.275,
2020-08-01,30.275,25.325,
2020-08-01,30.275,25.375,
2020-08-01,30.275,25.425,
2020-08-01,30.275,25.475,
2020-08-01,30.275,25.525,
2020-08-01,30.275,25.575,
2020-08-01,30.275,25.625,
2020-08-01,30.275,25.675,
2020-08-01,30.275,25.725,
2020-08-01,30.275,25.775,
2020-08-01,30.275,25.825,
2020-08-01,30.275,25.875,
2020-08-01,30.275,25.925,
2020-08-01,30.275,25.975,
2020-08-01,30.275,26.025,
2020-08-01,30.275,26.075,
2020-08-01,30.275,26.125,
2020-08-01,30.275,26.175,
2020-08-01,30.275,26.225,
2020-08-01,30.275,26.275,
2020-08-01,30.275,26.325,
2020-08-01,30.275,26.375,
2020-08-01,30.275,26.425,
2020-08-01,30.275,26.475,
2020-08-01,30.275,26.525,
2020-08-01,30.275,26.575,
2020-08-01,30.275,26.625,
2020-08-01,30.275,26.675,
2020-08-01,30.275,26.725,
2020-08-01,30.275,26.775,
2020-08-01,30.275,26.825,
2020-08-01,30.275,26.875,
2020-08-01,30.275,26.925,
2020-08-01,30.275,26.975,
2020-08-01,30.275,27.025,
2020-08-01,30.275,27.075,
2020-08-01,30.275,27.125,
2020-08-01,30.275,27.175,
2020-08-01,30.275,27.225,
2020-08-01,30.275,27.275,
2020-08-01,30.275,27.325,
2020-08-01,30.275,27.375,
2020-08-01,30.275,27.425,
2020-08-01,30.275,27.475,
2020-08-01,30.275,27.525,
2020-08-01,30.275,27.575,
2020-08-01,30.275,27.625,
2020-08-01,30.275,27.675,
2020-08-01,30.275,27.725,
2020-08-01,30.275,27.775,
2020-08-01,30.275,27.825,
2020-08-01,30.275,27.875,
2020-08-01,30.275,27.925,
2020-08-01,30.275,27.975,
2020-08-01,30.275,28.025,
2020-08-01,30.275,28.075,
2020-08-01,30.275,28.125,
2020-08-01,30.275,28.175,
2020-08-01,30.275,28.225,
2020-08-01,30.275,28.275,
2020-08-01,30.275,28.325,
2020-08-01,30.275,28.375,
2020-08-01,30.275,28.425,
2020-08-01,30.275,28.475,
2020-08-01,30.275,28.525,
2020-08-01,30.275,28.575,
2020-08-01,30.275,28.625,
2020-08-01,30.275,28.675,
2020-08-01,30.275,28.725,
2020-08-01,30.275,28.775,
2020-08-01,30.275,28.825,
2020-08-01,30.275,28.875,
2020-08-01,30.275,28.925,
2020-08-01,30.275,28.975,
2020-08-01,30.275,29.025,
2020-08-01,30.275,29.075,
2020-08-01,30.275,29.125,
2020-08-01,30.275,29.175,
2020-08-01,30.275,29.225,
2020-08-01,30.275,29.275,
2020-08-01,30.275,29.325,
2020-08-01,30.275,29.375,
2020-08-01,30.275,29.425,
2020-08-01,30.275,29.475,
2020-08-01,30.275,29.525,
2020-08-01,30.275,29.575,
2020-08-01,30.275,29.625,
2020-08-01,30.275,29.675,
2020-08-01,30.275,29.725,
2020-08-01,30.275,29.775,
2020-08-01,30.275,29.825,
2020-08-01,30.275,29.875,
2020-08-01,30.275,29.925,
2020-08-01,30.275,29.975,
2020-08-01,30.275,30.025,
2020-08-01,30.275,30.075,
2020-08-01,30.275,30.125,
2020-08-01,30.275,30.175,
2020-08-01,30.275,30.225,
2020-08-01,30.275,30.275,
2020-08-01,30.275,30.325,
2020-08-01,30.275,30.375,
2020-08-01,30.275,30.425,
2020-08-01,30.275,30.475,
2020-08-01,30.275,30.525,
2020-08-01,30.275,30.575,
2020-08-01,30.275,30.625,
2020-08-01,30.275,30.675,
2020-08-01,30.275,30.725,
2020-08-01,30.275,30.775,
2020-08-01,30.275,30.825,
2020-08-01,30.275,30.875,
2020-08-01,30.275,30.925,
2020-08-01,30.275,30.975,
2020-08-01,30.275,31.025,
2020-08-01,30.275,31.075,
2020-08-01,30.275,31.125,
2020-08-01,30.275,31.175,
2020-08-01,30.275,31.225,
2020-08-01,30.275,31.275,
2020-08-01,30.275,31.325,
2020-08-01,30.275,31.375,
2020-08-01,30.275,31.425,
2020-08-01,30.275,31.475,
2020-08-01,30.275,31.525,
2020-08-01,30.275,31.575,
2020-08-01,30.275,31.625,
2020-08-01,30.275,31.675,
2020-08-01,30.275,31.725,
2020-08-01,30.275,31.775,
2020-08-01,30.275,31.825,
2020-08-01,30.275,31.875,
2020-08-01,30.275,31.925,
2020-08-01,30.275,31.975,
2020-08-01,30.275,32.025,
2020-08-01,30.275,32.075,
2020-08-01,30.275,32.125,
2020-08-01,30.275,32.175,
2020-08-01,30.275,32.225,
2020-08-01,30.275,32.275,
2020-08-01,30.275,32.325,
2020-08-01,30.275,32.375,
2020-08-01,30.275,32.425,
2020-08-01,30.275,32.475,
2020-08-01,30.275,32.525,
2020-08-01,30.275,32.575,
2020-08-01,30.275,32.625,
2020-08-01,30.275,32.675,
2020-08-01,30.275,32.725,
2020-08-01,30.275,32.775,
2020-08-01,30.275,32.825,
2020-08-01,30.275,32.875,
2020-08-01,30.275,32.925,
2020-08-01,30.275,32.975,
2020-08-01,30.275,33.025,
2020-08-01,30.275,33.075,
2020-08-01,30.275,33.125,
2020-08-01,30.275,33.175,
2020-08-01,30.275,33.225,
2020-08-01,30.275,33.275,
2020-08-01,30.275,33.325,
2020-08-01,30.275,33.375,
2020-08-01,30.275,33.425,
2020-08-01,30.275,33.475,
2020-08-01,30.275,33.525,
2020-08-01,30.275,33.575,
2020-08-01,30.275,33.625,
2020-08-01,30.275,33.675,
2020-08-01,30.275,33.725,
2020-08-01,30.275,33.775,
2020-08-01,30.275,33.825,
2020-08-01,30.275,33.875,
2020-08-01,30.275,33.925,
2020-08-01,30.275,33.975,
2020-08-01,30.275,34.025,
2020-08-01,30.275,34.075,
2020-08-01,30.275,34.125,
2020-08-01,30.275,34.175,
2020-08-01,30.275,34.225,
2020-08-01,30.275,34.275,
2020-08-01,30.275,34.325,
2020-08-01,30.275,34.375,
2020-08-01,30.275,34.425,
2020-08-01,30.275,34.475,
2020-08-01,30.275,34.525,
2020-08-01,30.275,34.575,
2020-08-01,30.275,34.625,
2020-08-01,30.275,34.675,
2020-08-01,30.275,34.725,
2020-08-01,30.275,34.775,
2020-08-01,30.275,34.825,
2020-08-01,30.275,34.875,
2020-08-01,30.275,34.925,
2020-08-01,30.275,34.975,
2020-08-01,30.275,35.025,
2020-08-01,30.275,35.075,
2020-08-01,30.275,35.125,
2020-08-01,30.275,35.175,
2020-08-01,30.275,35.225,
2020-08-01,30.275,35.275,
2020-08-01,30.275,35.325,
2020-08-01,30.275,35.375,
2020-08-01,30.275,35.425,
2020-08-01,30.275,35.475,
2020-08-01,30.275,35.525,
2020-08-01,30.275,35.575,
2020-08-01,30.275,35.625,
2020-08-01,30.275,35.675,
2020-08-01,30.275,35.725,
2020-08-01,30.275,35.775,
2020-08-01,30.275,35.825,
2020-08-01,30.275,35.875,
2020-08-01,30.275,35.925,
2020-08-01,30.275,35.975,
2020-08-01,30.325,-5.975,
2020-08-01,30.325,-5.925,
2020-08-01,30.325,-5.875,
2020-08-01,30.325,-5.825,
2020-08-01,30.325,-5.775,
2020-08-01,30.325,-5.725,
2020-08-01,30.325,-5.675,
2020-08-01,30.325,-5.625,
2020-08-01,30.325,-5.575,
2020-08-01,30.325,-5.525,
2020-08-01,30.325,-5.475,
2020-08-01,30.325,-5.425,
2020-08-01,30.325,-5.375,
2020-08-01,30.325,-5.325,
2020-08-01,30.325,-5.275,
2020-08-01,30.325,-5.225,
2020-08-01,30.325,-5.175,
2020-08-01,30.325,-5.125,
2020-08-01,30.325,-5.075,
2020-08-01,30.325,-5.025,
